DRUG,NDC
CALCIUM GLUCONATE,517391025
NS,338004904
Dobutamine,74234632
CefazoLIN,781345295
Gammagard S/D,944262004
Penicillin G Potassium,49053028
Ampicillin Sodium,15740520
Piperacillin,63323038120
Alum Potassium,17317001801
CefazoLIN,63304094110
Cefazolin,63323023861
CefazoLIN,63323023861
Ribavirin Aerosol,187000714
D5W,338001702
5% Dextrose,338001702
NS,338004910
0.9% Sodium Chloride,338004910
NS,338004931
0.9% Sodium Chloride,338004931
Aminocaproic Acid,409434673
Atgam,9722402
D5W,338001710
5% Dextrose,338001710
D5W,338001731
5% Dextrose,338001731
Dextrose 5%,338001731
Epoetin Alfa,59676030201
Epoetin Alfa,59676030301
Epoetin Alfa,59676030401
Gemcitabine,2750201
Insulin,2831501
insulin,2831501
Insulin Human NPH,2831501
Insulin,2821501
Insulin Human Regular,2821501
Insulin Regular Human,2821501
NEO*IV*Fat Emulsion,409978901
NS,338004938
0.9% Sodium Chloride,338004938
NS,338004501
0.9% Sodium Chloride,338004501
0.9% Sodium Chloride,338004901
NS,338004902
0.9% Sodium Chloride,338004902
NS,338004903
0.9% Sodium Chloride,338004903
Acetylcysteine (IV),66220020730
Aripiprazole,59148001315
Aztreonam,51479004215
NEO*PO*Caffeine Citrate,87611142
Calcitriol,63323073101
CefePIME,60505083404
CefePIME,60505068104
Citalopram,54838054070
CloniDINE,66479052001
CycloSPORINE (Sandimmune),78010901
CycloSPORINE (Sandimmune),55390012210
Cyclophosphamide,10019095601
Cyclophosphamide,15050541
Cyproheptadine,472075516
Cytarabine,55390013301
Cytarabine,55390080901
D5W,409792337
5% Dextrose,409792337
Dextrose 5%,409792337
D5W,74792201
D5W,338001701
5% Dextrose,338001701
Dextrose 5%,338001701
Dextrose 5%,338001702
D5W,338001703
5% Dextrose,338001703
Desmopressin Acetate,75245101
Epoetin Alfa,59676031001
Epoetin Alfa,59676032001
Epoetin Alfa,55513047810
Vitamin D,91415060
Fentanyl Citrate,409909422
Fentanyl Citrate,10019003867
Finasteride,68084024711
Fluphenazine,121065304
FoLIC Acid,63323018410
Fomepizole,67457021102
Gamunex,13533064520
Gemtuzumab Ozogamicin,8451001
Granisetron HCl,4024009
Haloperidol,93960412
Haloperidol Lactate,93960412
Heparin,63323026201
Heparin,641040025
Heparin Sodium,63323026201
Heparin Flush (5000 Units/mL),63323026201
Heparin (CRRT Machine Priming),63323026201
Heparin Flush CRRT (5000 Units/mL),63323026201
Heparin Flush CVL  (100 units/ml),63323026201
Potassium Chloride,409665106
Potassium Chloride,409665305
Ketamine,409205105
Ketamine ,409205105
Loraze,409198530
Lorazepam,409198530
Magnesium Sulfate,517265025
Methotrexate,63323012250
Methotrexate Sodium,63323012250
Methotrexate Sodium,55390003110
Methotrexate Sodium P.F.,55390003110
Sodium Chloride,517293025
Naloxone,409121201
Naloxone HCl,409121201
NEO*PO*Chlorothiazide,67386071155
NEO*IV*Dexamethasone,703352401
POTassium Chloride,74665106
NEO*PO*Ranitidine,173038354
Sodium Bicarbonate 4.2% (2.4mEq),409660902
NEO*IV*Furosemide,74610204
0.9% Sodium Chloride,338004904
NS (Glass Bottle),409158302
Ondansetron,781305714
Oseltamivir,4082009
Afrin Sinus,904571135
Oxymetazoline,182144464
Oxymetazoline,904571135
Paricalcitol,74165801
PredniSONE,54372144
Pregabalin,71101441
Pregabalin Oral Solution,71101441
Milrinone,10019007002
Milrinone Lactate,10019007002
Propranolol,10019014501
Propranolol HCl,10019014501
Risperidone,50458059601
Risperidone Oral Solution,50458059601
VinCRIStine (Oncovin),61703030916
Vitamin A,61703041807
Zoledronic Acid,78038725
Fluorouracil,63323011710
Abacavir Sulfate,173066400
Abacavir Oral Solution,173066400
Acyclovir,63323010510
Acyclovir,173099501
Acyclovir,472008216
Acyclovir,50383081016
Aldesleukin,78049561
Allopurinol,62584071301
Ambisome,469305130
Amikacin,703904003
Amikacin Inhalation,703904003
Amiodarone,51079090620
Azathioprine Sodium,55390060020
Azathioprine,54408425
Sulfameth/Trimethoprim,703951403
Sulfamethoxazole-Trimethoprim,703951403
Bleomycin,703315401
1,409115902
Bupivacaine 0.25%,409115902
Bupivacaine 0.25%,186103201
Busulfan,59148007091
Busulfan,67286005308
Cephalexin Suspension,55045141500
Cidofovir,61958010101
CISplatin,63323010351
Clofarabine,58468010002
Colchicine,13310011907
CycloSPORINE (Sandimmune),78011022
Liposomal Cytarabine (Depocyt),57665033101
D5W,338001704
5% Dextrose,338001704
5% Dextrose (EXCEL BAG),264751020
D5W (Glass Bottle),338001602
5% Dextrose (EXCEL BAG),264751010
Decitabine,62856060001
Dextromethorphan Poly Complex,54569105100
Diazoxide,51927274200
DOXOrubicin,55390023301
Efavirenz,56047492
emtri,61958060201
Emtricitabine,61958060201
Emtricitabine Oral Solution,61958060201
NS Epidural Bag (0.9% NaCl),338004902
Zarontin,71241823
Ethosuximide,71241823
Fentanyl Citrate,10019003473
Fentanyl Citrate,10019003574
Fludarabine Phosphate,703485211
Foscarnet Sodium,409386302
Gentamicin Sulfate,63323017302
Gentamicin Sulfate,54868410300
Hydrocortisone,9001104
Hydrochloric Acid,49452355001
Heparin,63323054031
Heparin CRRT,63323054031
Trastuzumab,50242013468
