NDC,Chosen_ATC
338001702,B05C
338004904,B05X
338004903,B05X
409672924,B05X
517570425,C03C
51079025520,C07A
338004902,B05X
338070341,B05X
338355248,S01A
338004938,B05X
338011704,B05X
456066270,B05X
63323026201,B01A
55390007310,C07A
88222033,A10A
8084199,A02B
58177020211,B05X
517260225,B05X
58177000111,B05X
74610204,C03C
904224461,A06A
182844789,N02B
517391025,B05X
338055318,B05X
409176230,N02A
641040025,B01A
2831501,A10A
2821501,A10A
409665305,B05X
61553008348,D11A
8092355,A02B
338055002,B01A
409490234,B05C
904516561,A06A
409792337,B05C
51079000220,N02B
517571025,C03C
338001704,B05C
781305714,A04A
574705050,A06A
409198530,N05B
338008504,B05X
121054410,A06A
904404073,N02B
51079080120,C07A
49502069724,R03A
338001731,B05C
409729501,B05X
10019016312,C05A
10019003867,N02A
517090125,C02D
64253033335,B01A
63739008901,A06A
487980125,R01A
56017275,B01A
74198530,N05B
338001703,B05C
56016975,B01A
63323026965,N01A
338004304,B05X
409128331,N02A
54569523500,B05C
55390000401,H04A
409610204,C03C
54848616,A06A
8290036005,B01A
406055262,N02A
713016550,N02B
904526161,A02B
2735501,A07A
74407532,B05X
406051262,N02A
63323031110,B05X
245004101,B05X
58177000104,B05X
409131230,N02A
63653117103,B01A
338004931,B05X
310030011,N01A
10019003783,N02A
74665305,B05X
45025501,N05A
264751020,B05C
338067104,B05X
143987310,C07A
51079041720,N05B
409662502,B05X
74148402,C05A
409125830,N02A
409779362,B01A
56017075,B01A
62584078833,C07A
63323026920,N01A
63739002401,N02B
54839224,N02A
703450204,A03F
121065721,N02B
409433201,S01A
10019002710,N05C
487950125,R03A
74779362,B01A
63323061603,C01B
338002304,B05C
17714001110,N02B
45050130,N02B
165002241,A12C
641037625,D04A
51079012620,A01A
63739027201,N02B
703115303,C01C
54829725,C03C
66553000401,A02A
536338101,B05X
74233411,N02A
51079038620,N05B
51079001920,A06A
10019051002,C08D
60505068104,J01D
904399061,N06A
74177825,C07A
338519741,A02B
517293025,B05X
121043130,A02A
904777261,C07A
51079055271,A06A
338070948,B05X
55390034810,C07A
10019017644,N02A
2751001,A10A
56017675,B01A
55390005710,C01B
469061711,D11A
50242004413,B01A
54001820,H02A
409665106,B05X
74176230,N02A
781345295,J01D
904770418,N02B
206886202,J01C
45152510,S01A
51079096620,A02B
677178110,N02B
51079090620,C01B
409781124,A01A
8081401,C01B
17714002001,D04A
74781124,A01A
409148402,C05A
10019002803,N05C
67618030011,A06A
597001314,R03A
597008717,R01A
172375810,C09A
206885216,J01C
2445385,N05A
6353750,A02B
8092303,A02B
54829925,C03C
409739172,A06A
93521193,A02B
71015540,C10A
45152010,S01A
338500241,J01D
74662502,B05X
310027539,N05A
24540134,N05C
88120806,A04A
338069104,B05X
45006801,S01A
310032520,J01D
406717162,N02A
51079045420,C10A
51079000522,N02B
74125901,N02A
3045051,C09A
63323001302,A11D
182050789,V04C
9090020,C05A
10432017002,A11C
55390013020,C07A
904150061,N05B
55390014710,N05A
51079045620,C10A
172531210,S01A
300304613,A02B
74302401,C02D
548301200,C05A
63323061401,C02D
63323047401,N05A
173024256,C01A
17270072101,R03A
51079028520,N05B
74180001,C05A
52959067430,B05X
173044202,A04A
74792201,B05C
54872425,H02A
472500360,G01A
54872625,H02A
34120081,A06A
8418806,C01B
85036207,C07A
49502069703,R03A
74176201,N02A
51079004120,V04C
74144304,C01C
409180001,C05A
409117830,N02A
10019001303,N01A
49502068524,R01A
10019002804,N05C
51079045120,C08C
409477702,S01A
63323038810,S01A
51079087101,A02B
63323018410,V04C
74729501,B05X
63323022110,S01A
517760425,S01X
54001720,H02A
338105102,C05A
63323016101,S01B
74241612,N02A
74158411,B05X
517460525,D11A
182845389,N02B
68094020462,A02B
264310311,J01D
11098003002,N02A
338008904,B05X
71015823,C10A
60505260400,N05C
63323016501,C05A
338001710,B05C
74115170,B01A
182116189,C03C
10019001617,D11A
338070541,B05X
51079090520,N03A
338268975,N02A
517570225,C03C
172376010,C09A
51079033530,A06A
904198861,N02B
409915801,B02B
409606211,N02A
87057007,V03A
51991045757,A06A
904504561,C09A
51079007220,C03C
469065773,D11A
60977045101,A03F
409127332,N05B
206885516,J01C
45006701,S01A
58177032304,C05A
71015640,C10A
904272561,J01E
74131230,N02A
43825010201,N02B
406051201,N02A
182117089,C03C
51079074520,C05A
409163802,N05C
54868277600,N03A
74915801,B02B
182853489,B05X
310030050,N01A
61553011841,N02A
69153041,C08C
172438210,N02B
338001738,B05C
2871501,A10A
55390046001,S01E
17478093401,C02D
64065001,A01A
60505251903,N06A
9338901,H02A
51079075920,C07A
338001701,B05C
51079000620,B05X
310013039,C09A
7313705,J01D
172439018,R03A
63481062375,N02A
6096328,A02B
59310057920,R03A
24115510,N05B
182402889,B03A
63481068706,C05A
54864816,N02A
74438220,M03A
703270403,S01E
46287000660,V03A
74131701,N03A
781188313,A02B
641049125,N05A
4026001,L04A
256015201,B05X
409663734,B05X
74241512,N02A
409126130,N02A
59772704602,C09A
8058107,N05B
63323031461,S01A
25010040515,B02B
54354563,N02A
245010450,A06A
63323054011,B01A
51079090601,C01B
6004368,B02B
74665106,B05X
74258702,N05C
4003822,J05A
71015723,C10A
54865024,N02A
45006601,S01A
641141035,C01A
409491134,S01F
51079020520,M04A
51079010320,C03D
264751010,B05C
54865724,N02A
23050601,S01X
310030022,N01A
88171249,A02B
378001801,C07A
54817625,C05A
62174057751,S01E
641036725,C05A
51079069020,A07D
51079007320,C03C
300154430,A02B
85113601,B01A
50474059540,N03A
61553019648,N05C
121174410,R05C
31670972,A03F
206845216,J01C
51079074620,C05A
409131701,N03A
143988225,N03A
63323017302,S01A
4200278,J01D
310032130,J01D
173069602,R03A
186109239,C07A
603385521,C03A
597005801,G04C
904107061,A03F
9019016,H02A
61553015311,C01C
67033062,A02A
409724101,A01A
641039425,S01A
9011319,H02A
74158302,B05X
469060773,D11A
172531110,S01A
24120301,C01C
310013239,C09A
74662411,H03A
50474000263,N03A
641092825,D04A
60505083404,J01D
55390056510,C05A
338035703,B05C
66591091332,N02A
597008214,R01A
9514001,J01X
74455211,H03A
74780922,C01C
59762306003,S01A
904530661,D04A
68084006501,V04C
186109039,C07A
173071920,R01A
574703412,N02B
51079029920,S01E
310013110,C09A
406055201,N02A
338500341,J01D
71080540,N02B
74131202,N02A
74518211,H03A
15127020017,A12C
641240341,N02A
182864389,A02A
74490223,B05C
51079068420,C07A
51079088120,N03A
61553020648,N02A
51079078820,N05B
51079093120,C07A
78024815,S01X
74434113,H03A
781210301,D11A
173038354,A02B
71015740,C10A
172375910,C09A
143988125,N03A
182055489,C02D
904054460,A11D
409115170,B01A
74792337,B05C
173099501,J05A
49884002901,C02D
904174861,R02A
641049325,N03A
50383068304,A11E
78024615,S01X
29152611,R01A
904150161,N05B
58468002101,V03A
172436560,C07A
67919001101,J01X
51079028620,N05B
74771503,B05C
59762153005,C08C
68084007001,S01A
74125801,N02A
597007575,R03A
25540134,N05C
409477750,S01A
75245101,H01B
173034447,A02B
54881611,V03A
67094915,A01A
13830304,S01E
121176130,A02A
74126102,N02A
74697805,C09B
338080704,B05X
49884079474,C09A
74491023,V04C
338105548,A01A
409471332,C05A
74233326,N02A
55390016110,H01C
74606211,N02A
172541310,J02A
74663722,B05X
71036940,N03A
338601048,C01C
69306086,S01A
74131702,N03A
487980130,R01A
53746027101,J01E
10019055302,N05C
16837085839,A02A
63323036920,S01A
54855424,N07B
338067504,B05X
57664027408,N03A
91440123,A06A
168001231,B05C
338005403,B05X
58177029311,C07A
51079002420,C03B
54830125,C03C
51079001420,A11D
75062430,B01A
338050941,S01A
51079092920,C07A
58177022211,C01D
173024956,C01A
63402051224,R03A
245005301,B03A
182125989,N06A
51079039620,N02B
406035762,N02B
338100702,C01C
51079045820,C10A
63739007910,C05A
245021201,C01C
121048910,D04A
66582041428,C10A
51079028120,R02A
63323038310,S01E
51079000720,A02B
2411533,N05A
51079097220,A10B
781155613,C05A
54817525,C05A
59730640201,V03A
173068254,R03A
51079098320,C09A
54327099,R01A
6011728,R03D
14789040005,N03A
67286081203,C08C
264958720,B01A
71015523,C10A
7440701,B01A
71015892,C10A
24477032302,C08C
409302401,C02D
51079052720,C03C
37205014472,S01X
4026449,C03C
55390007710,N05A
74567102,C05A
63323024710,H03A
11980002515,S01X
186103301,N01B
71036240,N03A
223176001,B05X
49502068503,R01A
74372301,S01E
409116202,N01B
9011312,H02A
338114403,B05X
51079077120,C07A
713016512,N02B
10019001654,D11A
51079011620,B03A
54301050,N02B
338080304,B05X
54872525,H02A
87606005,A10B
143178701,N02B
766145010,N07B
78035806,C09C
338101948,J01C
67386071155,C03A
16837086012,A02A
75062040,B01A
55390048001,S01B
63323025803,H02A
54868410300,S01A
182004701,A11D
173041200,J01D
4029809,L04A
63739035410,A12C
409117102,C05A
173071900,R01A
51079008620,N06A
9001104,C05A
68084033701,N03A
9076502,H02A
67434504,N05C
121475210,A02B
62584072533,N05A
74234632,C01C
66553000801,B05X
10019005561,C07A
7336721,N05A
74724101,A01A
93730165,A04A
54855324,N07B
591040701,C09A
74706811,H03A
51079073320,N05A
59930156001,R03A
74127332,N05B
51079060520,J01D
74490234,B05C
406833062,N02A
71015623,C10A
51079080220,C07A
54023524,N02A
71400705,N03A
68021217,A01A
75062280,B01A
310032165,J01D
51079074720,C05A
23031204,A06A
74663734,B05X
51079028621,N05B
2411233,N05A
186108839,C07A
409379501,S01B
54418425,C05A
93008801,J01E
6095228,C09C
37205036174,N07B
51079081020,A10B
74228831,S01B
555099702,H02A
703095803,S01A
49884079374,C09A
172572810,A02B
51079054220,N05A
78027422,S01X
17478006235,A06A
168032608,C05A
904580861,C09A
63323054207,B01A
54569189502,A06A
63323023861,J01D
904585361,R02A
182181089,R02A
603137859,A06A
55390088010,H03A
6095128,C09C
172567310,N06A
517750425,S01X
641255545,N03A
4026129,L04A
74156410,N03A
338012504,B05X
4692506,S01B
59676030401,B03X
143120125,M04A
50962025160,G01A
64764054411,A02B
703940204,S01A
55390020910,H02A
51079007420,C02D
74379501,S01B
2751101,A10A
74131201,N02A
63323039923,S01A
74739172,A06A
68084020601,C03D
517490125,C05A
182178989,A03F
62856024541,N06D
49452477503,A01A
6361932,C03A
363069338,B05C
50458093010,S01A
10019002902,S01B
173032188,R03A
310075239,C10A
409158411,B05X
406831562,N02A
63323010510,S01A
51079098020,C03D
469305130,A01A
456201063,N06A
7313505,J01D
121075210,A02B
71000740,N03A
55390003710,M03A
409662902,M03A
182055589,C02D
574200202,V03A
10135033063,B03B
641607325,N02A
24208091019,S01A
409771503,B05C
59011010320,N02A
703102930,J02A
58468013001,V03A
51079093020,C07A
7413920,C07A
121063810,R05C
50111032703,C02D
85330601,C01D
51079007520,C02D
469321110,J02A
78010901,S01X
65649030105,A07A
904344061,N02B
6382310,J02A
51479004115,J01D
409405201,D10A
51079081220,C07A
54850016,C05A
8083303,N06A
52268010001,B05X
703102030,J02A
51079059820,D10A
75062160,B01A
45802073032,N02B
51079064420,M03B
66479056012,N02A
173041300,J01D
51079073420,N05A
58177009111,R05D
58177023811,C01D
59011010020,N02A
781711255,N02A
23917705,D11A
51079052920,R06A
310027139,N05A
71000724,N03A
54858516,N02A
51079000420,S01X
74117830,N02A
54858224,N02A
591083960,N06A
51079095220,C09A
45065910,N02A
51079075620,N04B
51079020620,M04A
517460125,D11A
8058113,N05B
591577710,C07A
173049800,R03B
51079030020,S01E
9082501,C05A
51672402301,S01E
49490041,N06A
59011010010,N02A
264934155,B05X
85411001,C01D
74929613,H03A
121053005,B03A
68084008165,N02B
74659413,H03A
172474110,N06A
49884094174,J02A
51079082120,N03A
904282161,G04B
51079028420,N05B
904585461,R02A
182820289,C07A
55513053010,L03A
904336561,M03B
55513014410,B03X
51079028220,R02A
517040525,C05A
409121201,A06A
15740520,S01A
69315083,S01A
50474059240,N03A
472128416,J01E
58468002001,V03A
781573413,A02B
74724803,B05A
168007011,S01A
6340617,M01A
55289061401,A10B
10019025112,S01F
51479005520,J01D
904215461,C05A
4200378,J01D
59676031001,B03X
52010590,N06A
6003121,M05B
378002801,C07A
59762501601,J02A
51079078720,C10A
49001483,S01A
59762501801,J02A
58468008001,L04A
173037934,J01D
338101102,C01C
71080340,N02B
60976034647,C07A
173069502,R03A
54022463,N03A
64980010401,B05X
51079029420,G04C
10019002703,N05C
6382210,J02A
378032701,N05A
7414020,C07A
135019502,N07B
6073528,C10A
6351659,J01D
9019009,H02A
50962080060,B05C
10019063002,J01C
9513503,J01X
409130431,N02A
409427601,C05A
8029501,N02A
59730640101,V03A
74437805,M03A
74141204,C03C
310075590,C10A
781711155,N02A
63323006661,B05X
4006850,N03A
406577162,N07B
64253022233,B01A
168005430,G01A
904567761,N06A
74300000068,D02A
731040106,B05X
75062300,B01A
55513007330,H05B
11098003005,N02A
54092000401,C01C
68084007965,N02B
469065711,D11A
56017375,B01A
67033022,A02A
49884078253,M03B
7414120,C07A
64019053825,N07B
51479005420,J01D
173052000,R03A
378447201,L04A
641276543,J01E
9017103,A10B
51079002320,C03B
406206890,C10A
87601142,D11A
781711455,N02A
85174102,S01A
50111030801,N05B
904565661,S01E
487590199,R03A
50474059440,N03A
173069700,R01A
777310533,N06A
49318030,J02A
456402063,N06A
49343041,J02A
597003112,S01E
4694003,S01A
228249710,C08C
51079032220,N02A
63323016201,S01B
121177505,R05C
338051141,S01A
182004789,A11D
10019007587,C07A
54008620,N05C
54873925,H02A
338050741,S01A
26855463,S01A
4080085,J05A
54829816,C03C
173069604,R01A
49319028,J02A
51479005530,J01D
591315901,A05A
50458016601,S01A
409915701,B02B
63323039810,S01A
904571135,R01A
54001920,H02A
51079092820,C07A
173049400,R01A
143989701,J01D
143120101,M04A
54839424,N02A
703951403,J01E
54815624,R05D
258368790,C05A
54092000301,C01C
52544093001,A05A
54856304,A03F
59011010525,N02A
9513502,J01X
409492834,B05X
78035906,C09C
781711355,N02A
63824000840,R05C
55390056630,C08D
65649020175,B05X
50580060150,R02A
93065701,A11C
69152068,C08C
51079010720,N06A
78035934,C09C
517180525,C01C
59676030301,B03X
555098040,C08C
904052361,S01X
54569281400,N02B
49343526,J02A
173099156,S01A
245006101,B03A
65649030303,A07A
115821101,G04C
71201223,N02B
58177025504,A03B
283067902,C05A
66479053002,N07B
93435693,N06A
6074928,C10A
517101025,S01F
54874025,H02A
409419701,D10A
228206710,N05B
168001131,S01A
904792260,G04B
186108805,C07A
78112001103,R02A
143147501,H02A
74163802,N05C
51079032730,R05C
409158302,B05X
548146900,A06A
456261490,C05A
37000002404,A06A
51079095120,C09A
517155025,B05X
71080640,N02B
555077002,D11A
186021003,C05A
2324033,N06A
591040401,C08D
10019010210,N05B
74491134,S01F
85171603,C08C
54569336000,C05A
54023755,N02A
8104110,S01X
10019002802,N05C
51079079001,N05B
61314063705,C05A
54817925,C05A
378252093,J02A
61314022705,C07A
50458092510,S01A
51079007620,C02D
78042306,C09C
29608031,J01C
173017755,N06A
61958040101,J05A
55390076210,N01A
517209625,B05X
74130401,N02A
45051372,N02A
2411260,N05A
574082301,D11A
74793124,C05A
338043103,B01A
62756051344,N03A
52959005500,A01A
42023012225,A01A
338050748,S01A
51079097120,N06A
2202402,B05X
51079028320,A03F
63304052020,J01D
51079006720,S01F
74630413,S01A
52044115,M03A
60505008000,C07A
338604648,J02A
93046301,N03A
781210401,D11A
517003125,B03B
223197101,A11C
597003334,S01E
168000715,G01A
51079016120,N02A
548301100,C05A
409163201,M03A
63323007620,B05X
536242558,R02A
87057009,V03A
173054700,P01A
26851348,S01A
74380511,G04C
409230801,N05C
8103105,S01X
